Country,Code,IHME,Antillon,Mogasale,Kim,Median Burden,Burden Group
South Africa,ZAF,2.21,72.46,176.09,176.09,72.46,Medium
Lesotho,LSO,2.94,47.67,204.71,204.71,47.67,Medium
Sudan,SDN,47.1,254.39,24.56,24.56,47.1,Medium
Haiti,HTI,5.16,190.96,46.9,46.9,46.9,Medium
Bolivia,BOL,1.95,337.64,40.74,40.74,40.74,Medium
Nicaragua,NIC,3.16,139.47,39.72,39.72,39.72,Medium
Fiji,FJI,100.01,38.66,20.91,20.91,38.66,Medium
Morocco,MAR,39.59,37.43,15.55,15.55,37.43,Medium
Honduras,HND,6.63,119.65,36.74,36.74,36.74,Medium
Guatemala,GTM,24.72,192.57,36.18,36.18,36.18,Medium
Maldives,MDV,35.36,11.39,297.42,297.42,35.36,Medium
Libya,LBY,34.81,50.35,15.4,15.4,34.81,Medium
Peru,PER,2.5,224.07,34.79,34.79,34.79,Medium
Albania,ALB,0.2,69.37,,,34.78,Medium
Paraguay,PRY,1.89,94.39,34.63,34.63,34.63,Medium
Belize,BLZ,1.81,132.71,33.55,33.55,33.55,Medium
Equatorial Guinea,GNQ,54.23,12.36,,,33.3,Medium
Venezuela,VEN,0.11,47.71,31.14,31.14,31.14,Medium
El Salvador,SLV,3.15,30.5,34.27,34.27,30.5,Medium
Brazil,BRA,1.75,98.19,30.4,30.4,30.4,Medium
Iran,IRN,30.33,14.78,338.46,338.46,30.33,Medium
Panama,PAN,2.82,41.34,29.34,29.34,29.34,Low
Ecuador,ECU,2.57,558.87,28.91,28.91,28.91,Low
Guyana,GUY,3.35,144.46,28.37,28.37,28.37,Low
Colombia,COL,2.1,104.28,27.87,27.87,27.87,Low
Algeria,DZA,35.65,27.83,13.4,13.4,27.83,Low
Kazakhstan,KAZ,0.27,27.67,248.65,248.65,27.67,Low
Argentina,ARG,0.29,52.23,27.43,27.43,27.43,Low
Mexico,MEX,10.57,53.88,26.58,26.58,26.58,Low
Tunisia,TUN,35.89,25.67,11.66,11.66,25.67,Low
St. Lucia,0,3.22,46.83,,,25.02,Low
Suriname,SUR,1.21,66.38,24.95,24.95,24.95,Low
Costa Rica,CRI,0.16,63.22,23.43,23.43,23.43,Low
Mongolia,MNG,0.68,327.81,23.23,23.23,23.23,Low
Iraq,IRQ,44.15,17.93,22.95,22.95,22.95,Low
Egypt,EGY,33.19,22.94,13.26,13.26,22.94,Low
Tajikistan,TJK,0.49,22.88,436.26,436.26,22.88,Low
Grenada,GRD,1.05,22.64,44.85,44.85,22.64,Low
China,CHN,22.26,24.72,16.05,16.05,22.26,Low
Turkmenistan,TKM,0.28,22.04,303.01,303.01,22.04,Low
Dominican Republic,DOM,7.03,21.65,27.73,27.73,21.65,Low
Kyrgyzstan,KGZ,0.3,19.46,304.43,304.43,19.46,Low
Cuba,CUB,0.27,29.44,19.28,19.28,19.28,Low
Lebanon,LBN,55.84,17.3,18.45,18.45,18.45,Low
Uzbekistan,UZB,0.28,18.2,295.84,295.84,18.2,Low
Syria,SYR,39.45,18.04,14.47,14.47,18.04,Low
St. Vincent and the Grenadines,0,2.04,17.47,25.25,25.25,17.47,Low
Mauritius,MUS,14.93,8.32,160.48,160.48,14.93,Low
Jordan,JOR,46.88,9.03,14.66,14.66,14.66,Low
Azerbaijan,AZE,0.4,35.81,14.3,14.3,14.3,Low
Korea DPR,PRK,9.73,496.97,14.25,14.25,14.25,Low
Turkey,TUR,41.77,10.36,12.9,12.9,12.9,Low
Armenia,ARM,0.3,14.32,10.45,10.45,10.45,Low
Jamaica,JAM,1.29,10.14,35.01,35.01,10.14,Low
Georgia,GEO,0.3,11.15,10,10,10,Low
Macedonia,MKD,0.15,18.61,,,9.38,Low
Romania,ROU,0.41,18.35,,,9.38,Low
Russia,RUS,0.5,17.26,,,8.88,Low
Serbia,SRB,0.19,15.69,,,7.94,Low
Montenegro,MNE,0.13,14.74,,,7.43,Low
Belarus,BLR,0.11,8.65,,,4.38,Low
Bulgaria,BGR,0.29,6.9,,,3.59,Low
Ukraine,UKR,0.12,6.69,,,3.41,Low
Bosnia and Herzegovina,BIH,0.14,6.12,,,3.13,Low
Moldova,MDA,0.01,5.86,,,2.93,Low
Croatia,HRV,0.13,,,,0.13,Low
